IDech,embase,typeVeg,Mhum,Msec,cal_val
1,NA,erica,"79,85","52,12",cal
3,NA,erica,"69,8","47,13",cal
4,NA,erica,"50,23","31,15",cal
5,NA,erica,"73,6","49,09",cal
6,NA,erica,"84,06","56,72",cal
7,NA,erica,"29,36","19,17",cal
8,NA,erica,"120,3","78,77",cal
9,NA,erica,"39,4","26,54",cal
10,NA,erica,"6,59","4,16",cal
11,NA,erica,"55,37","36,02",cal
13,NA,erica,"63,41","48,97",cal
14,NA,erica,"45,86","24,94",cal
15,NA,erica,"10,86","6,6",cal
16,NA,erica,"33,76","21,02",cal
17,NA,erica,"59,51","41,19",cal
18,NA,erica,"38,48","23,24",cal
19,NA,erica,"73,46","50,28",cal
20,NA,erica,"36,52","23,54",cal
21,NA,erica,"10,2","7,08",cal
22,NA,erica,"80,38","50,5",cal
23,NA,erica,"53,01","34,19",cal
24,NA,erica,"50,15","34,87",cal
25,NA,erica,"80,12","49,26",cal
26,NA,erica,"63,86","43,47",cal
27,NA,erica,"61,99","45,33",cal
28,NA,erica,"144,05","99,08",cal
29,NA,erica,"51,56","35,95",cal
30,NA,erica,"69,98","47,75",cal
31,NA,erica,"61,12","41,18",cal
32,NA,erica,"58,88","40,81",cal
33,NA,caluna,"83,51","52,51",cal
34,NA,caluna,"186,24","114,88",cal
35,NA,caluna,"163,84","101,65",cal
36,NA,caluna,"202,07","123,82",cal
37,NA,caluna,"156,94","102,56",cal
38,NA,caluna,"187,79","115,57",cal
39,NA,caluna,"179,22","113,74",cal
40,NA,caluna,"133,47","97,54",cal
41,NA,caluna,NA,NA,cal
42,NA,caluna,"51,7","35,58",cal
43,NA,caluna,"111,45","87,33",cal
2,NA,caluna,"109,42","63,42",cal
12,NA,caluna,"207,8","125,33",cal
45,NA,caluna,"140,61","89,67",cal
46,NA,caluna,"68,61","49,24",cal
47,NA,caluna,"164,55",102,cal
48,NA,caluna,"103,22","68,92",cal
49,NA,caluna,"135,25","85,68",cal
50,NA,caluna,68,"45,37",cal
51,NA,caluna,"96,58","65,78",cal
52,NA,caluna,"167,85","108,42",cal
53,NA,caluna,"95,77","59,95",cal
54,NA,caluna,"115,13","67,52",cal
55,NA,caluna,"108,54","66,12",cal
56,NA,caluna,"69,84","42,12",cal
57,NA,caluna,"57,54","34,1",cal
58,NA,caluna,"91,04","54,78",cal
59,NA,caluna,"44,48","26,95",cal
60,NA,caluna,"62,69","35,85",cal
61,NA,caluna,"76,44","43,53",cal
62,NA,caluna,"41,75","25,51",cal
1,1,caluna,"9,54","4,01",val
2,1,erica,"3,82","1,91",val
3,2,caluna,"13,55","7,23",val
4,2,erica,"7,54","4,14",val
5,3,caluna,"22,68","13,28",val
6,3,erica,"23,14","14,16",val
7,4,caluna,"8,45","5,09",val
8,4,erica,"11,28","7,09",val
9,5,caluna,"7,94","4,12",val
10,5,erica,"31,05","17,99",val
11,6,erica,"10,73","6,44",val
12,7,caluna,"7,57","4,53",val
13,7,erica,"16,52","9,85",val
14,8,caluna,"26,18","15,62",val
15,8,erica,"12,6","6,13",val
16,9,caluna,"0,65","0,38",val
17,9,erica,"12,1","7,09",val
18,10,caluna,"108,32",20,val
19,10,erica,"26,98","16,54",val
20,11,caluna,"15,61","8,32",val
21,11,erica,"16,24","9,11",val
22,12,erica,"24,1","14,61",val
23,13,erica,"12,46","6,65",val
24,14,caluna,"51,28","25,52",val
25,15,erica,"9,89","6,2",val
26,16,erica,"12,04","7,35",val
27,16,caluna,"0,14","0,09",val
